CODIGO	CLIENTE	TIPO PRODUCTO	MÁSTER	MARCA
00103	PESCAFACIL S.L.	ENTERO	2 Und * 12 Kg	SIN MARCA
00105	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 5 Lb	SIN MARCA
00106	ATHANASIOS CHATZISOTIRIOU	ENTERO	2 Und * 6 Kg	VITAGULF
00108	FAISAL ABDULLA SEAFOOD PROCESSING	ENTERO	6 Und * 1.80 Kg	SIN MARCA
00111	SUNRISE FOOD TRADING INC	COLA	10 Und * 2 Lb	FISH CREEK
00112	GROENLANDA SERV SRL	ENTERO	10 Und * 2 Kg	VITAGULF
00113	TAIKA SEAFOOD CORPORATION  	COLA	10 Und * 1.8 Kg	SIN MARCA
00116	AQUAGOLD S.A.	COLA	10 Und * 2 Kg	SIN MARCA
00117	PRIMSTAR B.V	VALOR AGREGADO	6 Und * 1.80 Kg	LIGHT HOUSE
00119	XIANMEILAI FOOD CO., LTD 	ENTERO	1 Und * 12 Kg	XIANMEILAI
00120	THALASSA SEAFOODS	ENTERO	10 Und * 2 Kg	GOLDEN SHRIMP
00121	THALASSA SEAFOODS	ENTERO	10 Und * 1.8 Kg	GOLDEN SHRIMP
00122	PRIMSTAR B.V	ENTERO	6 Und * 2 Kg	LIGHT HOUSE
00123	MORGAN FOODS INC	ENTERO	2 Und * 10 Kg	SMART FISH
00124	AXEL FOOD S.R.L	COLA	10 Und * 1.6 Kg	SANTA MARIA ROSSA
00125	MORGAN FOODS INC	VALOR AGREGADO	20 Und * 1 Lb	SEARAY FOODS
00126	MORGAN FOODS INC	ENTERO	5 Und * 4 Lb	SEARAY FOODS
00127	AXEL FOOD S.R.L	ENTERO	10 Und * 1.9 Kg	SANTA MARIA ROSSA
00128	FOOD MASTERS	ENTERO	10 Und * 2 Kg	GOLDEN SHRIMP
00130	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 5 Lb	SIN MARCA
00131	AQUAGOLD S.A.	COLA	6 Und * 2 Kg	VITAGULF
00133	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 5 Lb	SIN MARCA
00134	ACADIAN FISH CO	ENTERO	10 Und * 4 Lb	VITAGULF
00136	Monarch Trading, LLC	COLA	10 Und * 4 Lb	AQUA MARIS
00137	TAIKA SEAFOOD CORPORATION  	COLA	10 Und * 1.8 Kg	SIN MARCA
00140	DAYSEADAY FROZEN B.V.	ENTERO	12 Und * 0.75 Kg	DAYSEADAY
00142	GROENLANDA SERV SRL	ENTERO	10 Und * 1.6 Kg	AQUAGOLD
00143	GROENLANDA SERV SRL	COLA	10 Und * 1.6 Kg	AQUAGOLD
00144	AQUAGOLD S.A.	COLA	10 Und * 2 Lb	SIN MARCA
00145	MARUHA NICHIRO CORPORATION	COLA	6 Und * 1.80 Kg	AQUAGOLD
00146	ZUGGS, LLC	ENTERO	10 Und * 4 Lb	VITAGULF
00147	AQUAGOLD S.A.	VALOR AGREGADO	2 Und * 20 Lb	SIN MARCA
00148	AQUAGOLD S.A.	VALOR AGREGADO	2 Und * 20 Lb	SIN MARCA
00149	AQUAGOLD S.A.	VALOR AGREGADO	2 Und * 20 Lb	SIN MARCA
00150	CENSEA	ENTERO	10 Und * 4 Lb	OCEAN GARDEN
00152	SEA WIN, INC.	ENTERO	10 Und * 4 Lb	VITAGULF
00153	EAST FISH PROCESSING	ENTERO	10 Und * 2 Kg	SIN MARCA
00154	EAST FISH PROCESSING	ENTERO	10 Und * 2 Kg	SIN MARCA
00155	INTEROCEAN SEAFOOD TRADER INC	COLA	10 Und * 4 Lb	AQUA MARIS
00157	FAISAL ABDULLA SEAFOOD PROCESSING	ENTERO	6 Und * 2 Kg	SIN MARCA
